id,hpfid,siar_code,sinvest_code,sid,ifua,ifca,name,logo,description
1,HPF001,SI001,SVT001,IDD1000000000000001,IFUA00001,IFCA00001,Reksa Dana HPAM Saham Dinamis,,HPAM mutual fund. NAV in IDR per unit.
2,HPF002,SI002,SVT002,IDD1000000000000002,IFUA00002,IFCA00002,Reksa Dana HPAM Ekuitas Prima,,HPAM mutual fund. NAV in IDR per unit.
3,HPF003,SI003,SVT003,IDD1000000000000003,IFUA00003,IFCA00003,Reksa Dana HPAM Government Bond,,HPAM mutual fund. NAV in IDR per unit.
4,HPF004,SI004,SVT004,IDD1000000000000004,IFUA00004,IFCA00004,Reksa Dana HPAM Obligasi Plus,,HPAM mutual fund. NAV in IDR per unit.
5,HPF005,SI005,SVT005,IDD1000000000000005,IFUA00005,IFCA00005,Reksa Dana HPAM Campuran Strategis,,HPAM mutual fund. NAV in IDR per unit.
6,HPF006,SI006,SVT006,IDD1000000000000006,IFUA00006,IFCA00006,Reksa Dana HPAM Pasar Uang,,HPAM mutual fund. NAV in IDR per unit.
7,HPF007,SI007,SVT007,IDD1000000000000007,IFUA00007,IFCA00007,Reksa Dana HPAM Money Market Syariah,,HPAM mutual fund. NAV in IDR per unit.
8,HPF008,SI008,SVT008,IDD1000000000000008,IFUA00008,IFCA00008,Reksa Dana HPAM Terproteksi Optima IX,,HPAM mutual fund. NAV in IDR per unit.
9,HPF009,SI009,SVT009,IDD1000000000000009,IFUA00009,IFCA00009,Reksa Dana Penyertaan Terbatas HPAM Maestro Flexi I,,HPAM mutual fund. NAV in IDR per unit.
10,HPF010,SI010,SVT010,IDD1000000000000010,IFUA00010,IFCA00010,Reksa Dana HPAM Syariah Saham,,HPAM mutual fund. NAV in IDR per unit.
